number,role_who_decides,question,option_A,option_B,option_C,option_D,option_E,conflict_valid,realism_score,question_word_count,question_length_ok,option_one_sentence_ok,inferred_A,inferred_B,inferred_C,inferred_D,inferred_E,mapping_all_ok,mapping_mismatches,style_purity_score,surface_balance_score,neutral_tone_score,issues,short_rationale,repaired,repair_attempts,repair_notes
38,Charge nurse / nurse manager,"You are the charge nurse / nurse manager on a ward with three admissions waiting. A junior nurse refuses to accept an isolation patient, saying they were not fit-tested for the respirator. How will you staff assignments and respond now?",I will reassign the isolation patient to another nurse and accept the junior nurse’s refusal without further challenge.,I will instruct the junior nurse to take the isolation patient assignment and proceed with admissions as scheduled.,I will split the isolation workload by assigning the junior nurse the patient while another staff member handles tasks requiring the respirator.,"I will call a quick huddle to redesign assignments, arrange immediate fit-testing or safe PPE alternatives, and maintain admission flow while addressing the nurse’s safety concern.",I will pause the isolation admission and defer final assignments until I can clarify fit-testing status and staffing options.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,3,5,"Option D is noticeably more comprehensive and policy-aligned than the others, which can make it appear like the 'correct' choice (reduced surface balance). | Option A may be read as both accommodating the junior nurse and avoiding the underlying safety/process issue; still classifiable as conform but slightly blended. | Option E’s deferral is plausible, but pausing an isolation admission without specifying interim safety coverage could be viewed as less realistic operationally in a busy ward.","The scenario presents a clear, realistic staffing-and-safety conflict with interdependent parties (charge nurse, junior nurse, admissions flow) and an immediate decision point. Options map cleanly to conflict styles, though one option is more polished and solution-oriented than the rest, making it stand out.",False,0,
39,Clinical director,"As clinical director, you review a near-miss: a medical student stopped a tenfold insulin dose before administration. The resident prefers an informal conversation to minimize disruption, while policy encourages reporting for learning. How will you proceed today with your team?","I will go along with the resident and address the near-miss through a private coaching conversation, without formal reporting.","I will insist on immediate entry into the incident system and start the standard review process, regardless of the resident’s preference.","I will enter a brief near-miss report and limit follow-up to a short, one-on-one check-in with the resident.","I will report the near-miss and convene the student, resident, nursing, and pharmacy to jointly identify factors and agree next steps.","I will defer reporting and any follow-up for now, asking the student and resident to send details later before I decide.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,5,4,"Option B uses slightly loaded phrasing ('insist', 'regardless of the resident’s preference'), which can reduce perceived neutrality, though it still fits the assert style cleanly.","Clear, realistic safety-reporting tension between resident preference and organizational policy with an explicit decision point. Options map cleanly to distinct conflict styles and are comparably plausible in effort and consequence without signaling a single ‘correct’ choice.",True,1,"Rewrote the prompt to exactly 40 words in three sentences ending with a decision question, kept the interdependent conflict between resident preference and reporting expectations, and balanced options for length/specificity. Adjusted A to pure accommodation, E to pure deferral, reduced D’s ‘best-choice’ framing, and aligned each option to a single conflict style."
40,Senior surgeon (consultant),"During handover, my resident presses for immediate laparoscopic cholecystectomy for suspected acute cholecystitis, despite equivocal ultrasound and improving pain on antibiotics. I worry surgery tonight adds risk and can wait. How should I direct the plan now and communicate it?",I will schedule surgery tonight as the resident recommends and proceed with the usual preoperative pathway.,"I will defer surgery, continue antibiotics, and instruct the resident to follow my plan without further discussion.","I will keep an overnight operating slot on hold while continuing antibiotics, then decide after a short reassessment window.",I will review the data with the resident and agree on shared criteria and triggers for surgery versus continued medical treatment.,I will defer the decision until morning rounds and ask the resident to monitor closely overnight.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,4,"Option B wording ('without further discussion') can read punitive/closed, slightly reducing neutrality and realism of effective supervision. | Option A has a mild plausibility wrinkle (consultant fully adopting a resident-driven urgent plan without referencing senior judgement), though still possible in practice.","Clear interdependent conflict at handover between consultant risk/benefit concerns and resident urgency, with an immediate decision point. Setting and clinical details are plausible. Options map cleanly to distinct conflict styles and are mostly balanced and neutrally framed, with only minor tone/realism concerns.",False,0,
41,Medical director,"As director, I learn an intern documented normal neuro checks after sedation but later admits they never assessed the patient and copied prior entries. They ask me to correct the chart to avoid an incident report. What should I do?",I will correct the chart as requested and address the issue privately with the intern without escalating it.,I will require a formal incident report and direct the intern to disclose the inaccurate documentation to the clinical team.,"I will have the intern write a transparent addendum and I will provide remediation, while holding off on formal reporting for now.","I will bring the intern and supervisor together to amend the record, assess any harm, and jointly decide reporting and follow-up actions.",I will postpone action today and tell the intern I will revisit the documentation issue after I review the case later.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,4,3,"Option C mixes elements of assertiveness (transparent addendum, remediation) with avoidance of escalation (deferring formal reporting), making the style slightly less pure. | Option A implies participation in falsification/cover-up, which may reduce perceived neutrality even if it remains a plausible (misguided) response. | The scenario references an “incident report” in a way that could vary by institution (safety event report vs. compliance/disciplinary report), though it remains realistic overall.","The vignette presents a clear, high-stakes documentation-integrity conflict between an intern seeking to avoid reporting and a medical director responsible for patient safety and truthful records. Options are balanced and mostly map cleanly to distinct conflict styles, with minor style blending in the compromise option and slightly value-laden implications in the conforming option.",False,0,
42,Hospital administrator,"Overnight in ICU, a patient is actively dying, and their spouse demands to stay past visiting hours with two adult children. Outbreak policy allows only one visitor at a time. Security asks me for direction. What should I decide now?",I will allow the spouse and both children to remain together past hours as they request.,I will enforce the one-visitor policy as written and direct security to limit entry accordingly.,"I will permit two family members at a time for a limited period, with the third rotating in later.","I will meet with the family, ICU staff, and infection control to craft a plan that supports presence while managing exposure controls.",I will defer the decision to the morning leadership team and ask security to maintain standard visiting rules for now.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,5,"Option D may be operationally difficult to execute immediately overnight (assembling ICU staff and infection control), though still plausible as an intended approach. | Option A creates a clear policy deviation; while realistic as an exception request, it may be less defensible in an outbreak context without mitigation language.","The vignette presents an immediate decision point with interdependent parties (family, ICU/security, administration) and conflicting constraints (end-of-life needs vs outbreak visitor limits). Options are one sentence, neutrally worded, and map cleanly to distinct conflict styles with minimal overlap, with only minor feasibility/policy-defensibility concerns for A and D.",False,0,
43,Attending physician,"An elderly patient with advanced dementia is aspirating and appears near death. The daughter demands continued tube feeding and full IV antibiotics, while the chart contains a signed directive refusing artificial nutrition. As attending physician, how will you proceed now?","I will continue tube feeding and IV antibiotics as the daughter requests, documenting her wishes and revisiting goals later.","I will follow the signed directive, stop artificial nutrition, limit interventions to comfort care, and explain this decision firmly.","I will pause tube feeding but continue a short trial of IV antibiotics, then reassess with the daughter within 24 hours.",I will convene an urgent goals-of-care discussion with the daughter and team to align treatment with the directive and current burdens.,I will defer changes for now and request palliative care and ethics consultation before making a definitive plan.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,4,5,"Option E could be interpreted as appropriate process/collaboration (seeking ethics/palliative input) rather than pure avoidance; the phrase 'defer changes for now' helps but still leaves some ambiguity. | Option D is clearly collaborative, but it implicitly commits to honoring the directive; some readers may see it as partially assertive unless the emphasis is kept on joint decision-making. | Option A is realistic as a family-pressure response, but it asks for action that conflicts with a signed directive; this may feel ethically/legally untenable in some jurisdictions, slightly reducing balance.","The vignette presents a clear, high-stakes goals-of-care conflict between a surrogate’s demands and a documented patient directive, requiring an attending decision. Options map well to classic conflict styles and are mostly balanced and neutrally phrased, with minor means-versus-ends ambiguity in the consult/defer and team-meeting choices.",False,0,
44,Hospital administrator,"A patient insists on using their personal CPAP device overnight because the hospital model feels intolerable. Policy requires biomedical inspection before connecting outside equipment, which cannot occur until morning. As hospital administrator on call, what do you decide right now?",I will authorize connecting the patient’s personal CPAP tonight and ask staff to document the exception.,I will deny use of outside equipment until inspection is completed and require the hospital CPAP overnight.,I will require the hospital CPAP overnight but schedule first-thing inspection so the patient can switch to their own device tomorrow.,I will work with respiratory therapy and nursing to adjust the hospital setup and create a morning inspection plan that addresses both safety and comfort.,I will postpone a decision until morning and ask the bedside team to manage symptoms without CPAP for now.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,4,5,"Option C could be read as primarily enforcing policy (assert) rather than a true give-and-take, though it does offer a limited concession (inspection first thing). | Option A authorizes bypassing safety/biomed controls, which may feel less plausible for an administrator to endorse without additional risk-mitigation steps (e.g., temporary visual safety check), but it is still possible in urgent contexts.","The vignette presents a clear, time-sensitive conflict between patient comfort/preference and equipment-safety policy with an on-call administrator decision point. The setting and roles are plausible. Options map cleanly to distinct conflict styles with generally balanced, neutrally worded choices.",False,0,
45,Medical director,"A resident tells me they administered a tenfold opioid dose, causing respiratory depression reversed with naloxone. The patient is awake, asks why staff rushed in, and the resident prefers a simple explanation to limit fallout. What do I do next?","I will accept the resident’s approach, give the patient general reassurance, and allow the resident to decide how much to explain.",I will insist on immediate full disclosure to the patient and initiate formal incident reporting and review according to policy.,"I will explain that a medication error occurred and was treated, then plan a later meeting for full details and reporting.","I will bring the resident, primary team, and patient together to disclose openly, answer questions, and agree on reporting steps.","I will defer discussing the event and reporting for now, asking the resident to continue care until I address it later.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,4,4,"Option C blends compromise (partial immediate disclosure) with avoidance (delaying full details/reporting), making the style slightly less pure. | Stem phrase 'limit fallout' implies reputational motivation; consider rephrasing to maintain a more neutral tone.","The vignette presents a realistic, high-stakes medication error with interdependent parties (patient, resident, medical director) and a clear decision point about disclosure and reporting. Options are one sentence, mostly map cleanly to distinct conflict styles, and are reasonably balanced in tone and attractiveness, with minor mixing in option C.",True,1,"Question rewritten to exactly 40 words in 3 sentences with a neutral decision prompt; options rewritten as single-sentence first-person statements with clear, style-pure mappings (A conform, B assert, C compromise, D collaborate, E avoid) and similar specificity."
46,Senior surgeon (consultant),"During rounds, my resident argues for urgent exploratory laparotomy for suspected mesenteric ischemia based on rising lactate, but the CT angiogram is equivocal and the patient is stable on vasopressors. I fear unnecessary morbidity. How will I proceed right now?",I will authorize the laparotomy as the resident recommends and support their plan in front of the team.,"I will overrule the resident, cancel surgery, and direct continued medical management with close monitoring.",I will plan surgery for later today while ordering repeat labs and reassessment imaging first to reconsider the indication.,"I will convene a brief bedside discussion with the resident, ICU, and radiology to agree on shared criteria for surgery versus observation.",I will defer the decision by asking the on-call surgeon to assume responsibility and revisit after the next handover.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,4,"Option B uses slightly charged wording (“overrule”), though it still reads as a clear assertive choice. | Option E may feel like abdication of responsibility for an immediate high-stakes decision; deferring to on-call mid-round is plausible but somewhat less professionally realistic.","The vignette presents a clear, time-sensitive surgical decision with conflicting interpretations between senior surgeon and resident. Options map cleanly to distinct conflict styles (conform/assert/compromise/collaborate/avoid) and are mostly balanced and neutrally framed.",False,0,
47,Hospital administrator,"A Crohn’s patient in flare insists on receiving their home biologic during this admission, rejecting our formulary biosimilar. Pharmacy says non‑formulary approval and payer authorization may take two days, and the patient threatens to leave. What do I decide today?","I will authorize the patient’s home biologic today through an exception request, even if coverage is uncertain, to honor their preference.","I will enforce formulary policy, offering only the biosimilar now and requiring completed non‑formulary approval before any home biologic.","I will approve one home‑biologic dose if available, then use the biosimilar while pharmacy pursues authorization for ongoing dosing.","I will meet with the patient, GI, and pharmacy to jointly choose a regimen that addresses symptoms, safety, and approval timelines.","I will defer a final call today, asking the team to treat supportively while I review formulary and payer options later.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,4,"Option A’s phrasing ('even if coverage is uncertain') slightly loads the choice with a financial-risk cue, which can make it feel less neutral than the others. | Option C assumes feasibility of obtaining a single home-biologic dose immediately ('if available'), which may be operationally variable; still plausible but slightly conditional. | All options are one sentence, but a couple are compound with multiple clauses; still meets the one-sentence requirement.","The vignette presents a clear, realistic hospital conflict among interdependent parties (patient preference/retention vs formulary/payer constraints) with an immediate administrative decision point. Options map cleanly to distinct conflict styles and are broadly balanced and neutrally framed with only minor wording/feasibility caveats.",True,1,"Rebalanced options to align exactly with conflict styles (A accommodate, B compete) while keeping scenario realistic and the question exactly 40 words in 3 sentences ending with a decision prompt."
48,Medical director,"In the ICU, a competent patient with end-stage heart failure says they do not want intubation, yet their son insists we ignore that and keep them full code. The team wants my directive. How will I respond in this moment?",I will maintain full-code orders as the son requests and avoid further confrontation about the patient’s statement.,"I will enforce the patient’s stated wishes, change orders to do-not-intubate, and instruct staff to follow them.",I will keep full-code status for now but set a time-limited trial of noninvasive support before revisiting intubation decisions.,"I will facilitate a joint conversation with the patient, son, and ICU team to clarify goals and agree on a plan led by the patient’s values.",I will delay changing orders by requesting an ethics consult and keeping current code status until that review occurs.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,3,4,5,"Option A blends conforming to the son with avoiding confrontation, reducing single-style purity. | Option C is framed as a middle-ground but relies on temporarily maintaining full-code status despite a competent patient’s stated refusal, making it ethically/clinically inconsistent and slightly harder to map cleanly to one conflict style. | Option E uses an ethics consult as a delay tactic; in real practice ethics can be collaborative support rather than avoidance, so the intent may feel ambiguous.","The vignette presents a clear ICU decision point with interdependent parties (competent patient vs son vs team) and plausible tension. Options are mostly balanced and neutrally worded, but a few contain mixed motives or clinically/ethically awkward elements that blur style purity.",False,0,
49,Hospital administrator,"As hospital administrator, you learn a patient needs an expensive infusion before discharge, but the insurer denies coverage without a specialist note. The patient demands immediate administration anyway. How will you decide whether to provide it today despite the denial?",I will follow the insurer requirement and decline to provide the infusion until the specialist note is obtained.,"I will authorize the infusion today based on my judgment, even without insurer approval.",I will offer a partial or alternative treatment plan today while requiring the specialist note for full coverage.,I will meet with the patient and care team to rapidly secure the specialist note or an approved pathway that addresses both urgency and coverage.,I will defer the decision until the next business day and ask the team to manage without the infusion in the meantime.,True,4,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,4,"Role realism: a hospital administrator typically influences financial authorization/policy pathways rather than unilaterally deciding clinical administration; could clarify that the decision is about approving hospital-funded administration vs waiting for authorization. | Option D reads most constructive/‘best practice,’ making the set slightly unbalanced in attractiveness compared with more rigid/risky alternatives. | Minor tone note: 'patient demands' introduces a small negative framing, though still plausible.","The vignette presents a clear interdependent conflict (patient urgency vs insurer authorization and hospital financial risk) with an explicit decision point. Options map cleanly to distinct conflict styles with one-sentence, neutrally worded responses, though collaboration is slightly favored and the administrator’s authority could be clarified.",False,0,
50,Department head,"As department head, you’re told a resident on call is overwhelmed and asks to cancel afternoon teaching to finish discharge summaries. You value education and patient flow, but they insist they’ll be unsafe otherwise. What do you do right now?",I will cancel the afternoon teaching as requested so the resident can focus on discharge summaries.,I will require teaching to proceed and instruct the resident to complete discharge work afterward.,I will shorten teaching and give the resident limited protected time afterward to catch up on discharges.,I will sit down with the resident to identify the bottlenecks and reallocate tasks or staffing so teaching and safe patient flow can both continue.,I will postpone deciding and ask the resident to continue the current plan until we can review the situation later.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,5,Option E may be clinically risky/unrealistic in a real-time safety concern because it defers action despite the resident stating they feel unsafe.,Clear interdependent conflict between education demands and immediate workload/safety constraints with a time-pressured decision point; options map cleanly to distinct conflict styles and are generally balanced and neutrally phrased.,False,0,
51,Senior surgeon (consultant),"As senior surgeon (consultant), you assess a frail patient with malignant bowel obstruction who prefers comfort care, while their caregiver demands an operation to “do everything.” The team asks for your recommendation. How will you lead this discussion and decide?",I will agree to proceed with an operation to meet the caregiver’s request for doing everything.,I will state that surgery will not be offered and direct the plan toward comfort care based on my decision.,"I will propose a limited, time-limited intervention as a middle ground between surgery and comfort-only care.",I will facilitate a joint meeting to clarify the patient’s values and align the caregiver and team on a plan that honors those goals while addressing fears.,I will delay making a recommendation and refer the decision to another clinician or a later meeting.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,5,4,"B is somewhat paternalistic/authoritarian (“based on my decision”) and does not explicitly reference patient autonomy or capacity assessment, which can make it feel less professionally neutral. | E implies abdication rather than a clinically appropriate pause (e.g., for capacity/ethics consult), which can read as evasive rather than process-focused.","The vignette presents a clear, realistic perioperative goals-of-care conflict between patient preferences and caregiver demands with an immediate decision point. Options map cleanly to distinct conflict styles and are mostly balanced and neutrally phrased, with minor tone/process concerns in B and E.",False,0,
52,Charge nurse / nurse manager,"A newly qualified nurse refuses a high-acuity assignment, saying they are not competent with vasoactive drips. Staffing is short and beds are full, and the on-call supervisor expects no diversions. How do you respond and allocate care safely right now?","I accept the nurse’s refusal, reassign the patient to someone else, and adjust the rest of the assignments to cover the gap.",I instruct the nurse to take the assignment as given and make clear that refusing is not acceptable during this shift.,I keep the nurse on the patient but redistribute the most complex tasks to another nurse so responsibility is shared.,I quickly assess the nurse’s specific limits and create a supported plan with supervision and targeted task allocation that keeps the patient safe.,"I pause the assignment decision, tell the team to hold for now, and escalate to the on-call supervisor to decide later.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,5,5,"Realism concern: a newly qualified nurse refusing a high-acuity vasoactive-drip assignment is plausible, but the vignette mixes multiple pressures (short staffing, full beds, “no diversions”) without clarifying the immediate unit context (ICU vs stepdown), which affects feasibility of the options. | Option C is style-mixed/unclear: “keep the nurse on the patient” but “redistribute complex tasks” blends compromise (splitting duties) with collaboration (re-planning work based on competence) and creates ambiguous accountability. | Option A is not purely conform vs safety-driven triage: reassigning the patient and “adjust[ing] the rest” can be read as collaborative problem-solving rather than simple accommodation. | Option E is internally unsafe/low realism operationally: “pause the assignment decision” and “hold for now” during an active high-acuity assignment implies delaying coverage; escalation can be appropriate, but the wording suggests deferring the immediate safety decision. | Tone is slightly loaded in B (“refusing is not acceptable”) which can read punitive rather than neutral assertiveness in a safety/competence context.","The scenario contains a clear, time-pressured staffing conflict with competing constraints (patient safety/competence vs staffing/throughput expectations). Options are mostly plausible, but several blur conflict-handling styles (especially A and C) and one option implies an impractical delay (E), reducing realism and style purity.",False,0,
53,Consultant physician,"After biopsy confirms metastatic pancreatic cancer, the patient’s adult son asks you not to tell her, fearing she will lose hope. She is alert, asks for results, and has no cognitive impairment. How will you handle disclosure in clinic today?","I follow the son’s request by avoiding the diagnosis and giving the patient only general, non-specific information for now.","I tell the patient the full diagnosis and prognosis immediately, despite the son’s objections, because it is her information.",I share limited information today and agree to a fuller discussion at the next visit when the son can be present.,"I bring them together to address the son’s concerns while confirming the patient’s preferences about information, then agree on a shared plan for disclosure.","I defer the results conversation today and reschedule soon, avoiding a direct answer until the family situation settles.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,4,5,"Option A blends conforming to the son with avoidance of disclosure, slightly reducing single-style purity. | Option E is very close to A in effect (non-disclosure), creating some redundancy between options. | Scenario does not explicitly mention assessing the patient’s stated preference for information before the conflict, though it is implied by her asking for results.","The vignette presents a clear, realistic clinician–family conflict about disclosure with an immediate decision point. Options map cleanly to standard conflict styles, with minor overlap between conforming and avoiding in A and some redundancy with E; tone is generally neutral and balanced.",False,0,
54,Hospital administrator,"A patient recovering from stroke needs inpatient rehabilitation, but the insurer will not authorize transfer until therapy scores are uploaded tomorrow. The patient and family demand immediate placement and threaten complaints. What decision will you make about timing right now?","I adhere to the authorization requirement and keep the patient here until tomorrow, explaining that transfer must wait for insurer approval.","I approve transfer today regardless of authorization, accepting the financial and policy consequences to meet the family’s demand.",I arrange a partial solution by holding the rehab bed and offering a temporary in-hospital alternative while waiting for approval.,"I mobilize therapy and case management to obtain scores immediately, contact the insurer for expedited review, and build a plan that addresses both urgency and policy.",I defer the decision until tomorrow’s utilization review and avoid committing to any transfer plan today.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,5,"Option D is more operationally detailed and effortful than the others, which can make it more attractive on the surface (minor surface-balance concern). | Option B assumes the administrator can unilaterally approve a transfer without authorization; plausible as an extreme stance, but authority/feasibility could vary by institution (minor realism nuance).","The vignette presents a clear, realistic hospital throughput/utilization conflict with interdependent parties (family vs insurer/policy) and an immediate decision point. Options map cleanly to distinct conflict styles with generally neutral wording and comparable plausibility, though D is somewhat more elaborated.",False,0,
55,Clinical director,"An intern tells you they nearly administered heparin to the wrong patient but caught it before harm, and they beg you not to file a safety report. You value transparency yet worry about discouraging reporting. What will you do now?",I will agree not to file a report and simply remind the intern to be more careful.,I will file the safety report immediately and tell the intern it is nonnegotiable.,I will submit a limited report describing the near miss but exclude staff names and keep details minimal.,I will sit with the intern to file the report together and develop a supportive follow-up plan to prevent recurrence.,I will postpone any reporting decision until I can review the chart and speak with risk management later.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,5,4,"Option B’s wording (“nonnegotiable”) reads somewhat punitive/authoritarian, which could reduce tone neutrality. | Option C proposes limiting/excluding names/details; depending on local policy this could be unrealistic or procedurally problematic (may undermine learnings/accountability).","The vignette presents a clear, realistic safety-reporting conflict with interdependent parties (intern vs. director/system expectations) and an immediate decision point. Options are mostly one-style each and similarly plausible, spanning accommodating, assertive, compromise, collaborative, and avoidant responses, with only minor tone/policy realism concerns.",False,0,
56,Charge nurse / nurse manager,"During an overcrowded night shift, a newly qualified nurse says they are too exhausted to safely cover two high-dependency patients and ask to be sent home. Staffing is already minimal and admissions keep arriving. How do you respond right now?",I will send the nurse home and redistribute their patients among the remaining staff.,I will require the nurse to stay on shift and continue caring for the assigned patients.,I will reduce their assignment to one high-dependency patient while asking them to stay for the rest of the shift.,I will huddle with the nurse and team to redesign assignments and breaks so safety and staffing needs are both met.,I will tell the nurse to take a short time-out and revisit the request after the next admission wave.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,4,5,"Realism: In an overcrowded, minimally staffed unit with ongoing admissions, immediately sending a nurse home (Option A) is often not feasible without invoking escalation steps (calling in staff, closing beds/diverting, involving supervisor/house officer), so the scenario lacks typical operational constraints/actions. | Clinical accuracy/safety framing: A newly qualified nurse being assigned two high-dependency patients on a minimal-staff night shift is plausible but extreme; many settings would have policies limiting such assignments, which could be briefly acknowledged to improve plausibility. | Option E is somewhat ambiguous: “revisit after the next admission wave” may be interpreted as either a brief recovery break (constructive) or avoidance/delay; adding a clearer deferment signal would sharpen style purity. | Option D is longer and more process-heavy than the others, making it look more “complete” on the surface and potentially advantaging it despite the neutral tone requirement.","The vignette contains a clear, time-pressured staffing-safety conflict between an exhausted nurse requesting to leave and a charge nurse responsible for maintaining coverage during active admissions. Response options map cleanly to distinct conflict styles, but the situation and some options would be more realistic if they referenced common escalation/mitigation steps, and option lengths are slightly unbalanced.",False,0,
57,Consultant physician,"A patient with sudden severe headache has a normal CT, but you recommend a lumbar puncture to exclude subarachnoid hemorrhage. They refuse, citing fear of paralysis, and demand discharge. How will you proceed today given their refusal and safety concerns?",I will discharge the patient without lumbar puncture after documenting refusal and providing standard return precautions.,I will insist they undergo lumbar puncture and refuse to discharge them until it is completed.,"I will offer a period of monitored observation with repeat neurologic checks instead of immediate lumbar puncture, then reassess.","I will explore their concerns, explain risks and alternatives, and co-create a plan they can accept for ruling out hemorrhage.",I will step out and defer the decision until after another clinician can re-discuss options with them later.,True,4,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,4,"Option B implies detaining/refusing discharge despite a competent patient’s informed refusal, which may be legally/ethically problematic in many settings and could reduce realism. | Option E is somewhat artificial (stepping out to defer) unless framed as a specific escalation (e.g., second opinion/charge nurse/patient advocate) and may read as avoidant rather than a standard clinical step.","The scenario presents a clear ED-style conflict between clinician duty to exclude SAH and a patient refusing LP and requesting discharge. Options map cleanly to distinct conflict styles and are mostly plausible and neutrally worded, though the ‘refuse to discharge’ stance is potentially unrealistic/unsafe if the patient has capacity.",False,0,
58,Charge nurse / nurse manager,"On my ward, a newly qualified nurse reports an unwitnessed patient fall but wants to chart it vaguely and skip the incident form, fearing blame. I must ensure accurate documentation and safety review. How do I respond right now, today?",I agree to the nurse’s minimal wording and let the incident form go unfiled to avoid escalating things.,"I instruct the nurse to document the fall clearly and complete the incident report immediately, without exceptions.",I ask for clear documentation now but allow the incident form to be completed at the end of the shift.,"I sit with the nurse to document objectively and file the report together, addressing fears while meeting safety requirements.",I tell the nurse we will revisit the documentation and reporting later and move on to other tasks for now.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,3,4,"Options A and E are substantially weaker/less professionally defensible than the others (risking perceived 'obvious wrong' choices), reducing surface balance. | Option B wording ('without exceptions') is slightly absolutist/harsh, though still plausible in a safety/compliance context.","The scenario presents a clear, interdependent conflict between a new nurse’s fear of blame and the charge nurse’s responsibility for accurate documentation and safety reporting, with an immediate decision point. Options map cleanly to distinct conflict styles; realism is strong, but answer quality is somewhat imbalanced because two options advocate clear noncompliance/delay.",False,0,
59,Medical director,"In the ED, a resident says hospital policy forbids MRI for a patient with an older pacemaker until cardiology clears it tomorrow. I worry about missed spinal cord compression. The patient is in severe pain. What should I decide now?",I follow the policy and wait for cardiology clearance tomorrow before allowing any MRI to be ordered.,"I authorize the MRI immediately despite the policy, prioritizing my clinical judgement over procedural restrictions.",I order alternative imaging and treatment now while planning to obtain the MRI after cardiology clearance tomorrow.,"I urgently bring cardiology and radiology together to create a safe, expedited pathway for an MRI today.",I defer the decision to the on-call cardiologist and take no further action about imaging until they respond.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,4,"Option B frames the choice as overriding policy outright, which may read as endorsing unsafe rule-breaking unless paired with safety steps (e.g., rapid device evaluation) within the option. | Option E is strongly inactive ('take no further action'), which can make it less appealing and slightly reduce balance versus other more patient-centered actions.","Clear ED conflict between policy-based MRI restrictions and urgent concern for spinal cord compression, with an explicit decision point for the medical director. Setting and roles are plausible. Options map cleanly to distinct conflict styles and are mostly neutrally worded, with minor imbalance from the extremity of B and passivity of E.",False,0,
60,Consultant physician,An oncology patient with progressive lung cancer tells me she wants to stop chemotherapy and go home with hospice. Her caregiver demands another cycle and threatens complaints. She is competent and calm—what should I do next in this meeting today?,I agree to the caregiver’s request and proceed with scheduling another chemotherapy cycle as they want.,"I support the patient’s decision, document it clearly, and arrange hospice despite the caregiver’s objections.","I propose a time-limited, lower-intensity chemotherapy trial while also setting up hospice planning for soon after.",I facilitate a joint discussion to clarify goals and craft a plan that honors the patient’s choice while addressing caregiver concerns.,I pause the conversation and postpone any decision about chemotherapy or hospice until a later appointment.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,3,4,"Option A is ethically problematic (overrides a competent patient’s informed refusal) and therefore may feel less plausibly selectable by a consultant physician, reducing perceived balance. | Option C mixes potentially incompatible actions (starting a chemo trial while also setting up hospice ‘soon after’); still classifiable as compromise but could be read as clinically muddled without more context. | Option E postpones the decision entirely; while plausible as avoidance, in this scenario it may seem artificially passive given the patient is present, competent, and expressing a clear preference.","The vignette presents a clear, realistic healthcare conflict between a competent patient’s wish to stop treatment and a caregiver’s opposing demand, with an immediate decision point. Options map cleanly onto the five conflict styles, though balance is weakened because the ‘conform’ option entails disregarding patient autonomy, making it less credible as an equal contender.",False,0,
61,Clinical director,"As clinical director, you review a resident’s request for a non‑formulary antifungal for a neutropenic patient worsening overnight. Pharmacy says policy requires infectious‑disease approval, available tomorrow, while the resident urges immediate dosing. How will you decide now for patient safety?",I will follow the formulary policy and wait for infectious-disease approval before starting the antifungal.,I will override the restriction and order the non-formulary antifungal immediately based on my judgment.,I will authorize a single interim dose tonight while committing to obtain formal infectious-disease approval tomorrow.,"I will convene a rapid discussion with the resident, pharmacy, and infectious-disease clinician to agree on a plan meeting urgency and policy concerns.",I will defer the decision to the morning leadership and instruct the team to continue current therapy overnight.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,5,"Option D assumes an infectious-disease clinician can be reached rapidly despite stating approval is available tomorrow; consider clarifying on-call availability to avoid a minor plausibility gap. | Option E may read as clinically risky in a worsening neutropenic patient, which could make it less attractive than other options (slight balance issue), though it still represents a realistic avoidant response.","The vignette presents an urgent, policy-constrained medication decision with interdependent parties (director/resident/pharmacy/ID) and a clear decision point. Options map cleanly to distinct conflict styles and are phrased neutrally without signaling a correct answer.",False,0,
